,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
16,Conor Timmins,25.0,D,16,1,5,6,5,8,1,0,0,0,3,2,0,14,7.1,252.0,15:45,0.4,0.8,1.2,17,16,0,0,,6-2,202,R/-,4,1100000.0,TOR
17,William Lagesson,27.0,D,21,0,3,3,1,19,0,0,0,0,3,0,0,9,0.0,316.0,15:02,-0.1,0.6,0.5,32,33,0,0,,6-2,211,L/-,3,775000.0,TOR
18,Ryan Reaves,37.0,RW,22,2,0,2,-11,18,2,0,0,0,0,0,0,11,18.2,164.0,7:26,-0.1,-0.2,-0.3,3,47,1,0,100.0,6-2,225,R/-,13,1350000.0,TOR
19,Simon Benoit,25.0,D,33,1,1,2,2,28,1,0,0,0,1,0,0,32,3.1,520.0,15:45,-0.4,1.1,0.7,51,92,0,0,,6-3,203,L/-,3,775000.0,TOR
20,Martin Jones,34.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,930.0,54:44,0.0,0.0,3.0,0,0,0,0,,6-5,203,-/L,10,775000.0,TOR
21,Ilya Samsonov,26.0,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,1035.0,54:28,0.0,0.0,1.5,0,0,0,0,,6-3,217,-/L,4,3550000.0,TOR
0,Dylan Larkin,27.0,C,44,23,24,47,-2,33,13,8,2,4,13,11,0,146,15.8,881.0,20:01,4.5,0.9,5.3,20,16,438,375,53.9,6-1,199,L/-,8,10000000.0,DET
1,Alex DeBrincat,26.0,RW,50,18,25,43,1,21,10,8,0,1,19,6,0,139,12.9,902.0,18:02,3.5,1.0,4.5,22,19,11,14,44.0,5-8,180,R/-,6,8250000.0,DET
2,Lucas Raymond,21.0,LW,50,13,28,41,-13,16,11,2,0,3,19,9,0,91,14.3,882.0,17:38,2.9,0.5,3.4,15,34,1,3,25.0,5-11,188,R/-,2,832500.0,DET
3,Daniel Sprong,26.0,RW,50,13,19,32,4,22,11,2,0,1,13,6,0,122,10.7,636.0,12:44,2.7,0.8,3.5,11,16,8,4,66.7,6-0,195,R/-,7,2000000.0,DET
4,Shayne Gostisbehere,30.0,D,49,7,25,32,-20,14,5,2,0,1,7,18,0,83,8.4,949.0,19:22,2.7,0.3,3.0,44,19,0,0,,5-11,183,L/-,9,4125000.0,DET
5,J.T. Compher,28.0,LW,45,11,18,29,0,28,6,4,1,0,15,3,0,57,19.3,868.0,19:17,1.5,0.9,2.5,31,23,255,332,43.4,6-0,190,R/-,7,5500000.0,DET
6,Moritz Seider,22.0,D,50,6,20,26,2,30,3,3,0,0,10,10,0,83,7.2,1120.0,22:24,1.8,2.2,4.0,113,91,0,0,,6-3,205,R/-,2,832500.0,DET
7,Andrew Copp,29.0,C,49,10,14,24,3,18,8,1,1,2,12,1,1,86,11.6,820.0,16:44,1.1,1.0,2.1,28,8,304,269,53.1,6-1,203,L/-,9,6250000.0,DET
8,David Perron,35.0,LW,44,10,13,23,-12,35,4,6,0,3,7,6,0,79,12.7,671.0,15:15,1.4,0.3,1.7,14,37,8,11,42.1,6-0,195,R/-,16,5150000.0,DET
