,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
2,Evgeni Malkin,37.0,C,45,16,23,39,1,40,13,3,0,2,14,9,0,123,13.0,856.0,19:01,3.0,1.0,3.9,22,10,218,222,49.5,6-3,195,L/-,17,6000000.0,PIT
3,Erik Karlsson,33.0,D,45,7,27,34,9,24,5,2,0,2,19,8,0,107,6.5,1097.0,24:23,2.6,3.0,5.6,47,18,0,0,,6-0,190,R/-,14,9130435.0,PIT
4,Kris Letang,36.0,D,45,3,26,29,14,44,3,0,0,0,24,2,0,91,3.3,1116.0,24:48,1.7,3.4,5.1,75,78,0,0,,6-0,201,R/-,17,8000000.0,PIT
5,Bryan Rust,31.0,RW,32,11,16,27,15,8,11,0,0,1,15,1,0,98,11.2,605.0,18:54,2.0,1.2,3.2,23,24,1,2,33.3,5-11,192,R/-,9,6100000.0,PIT
6,Reilly Smith,32.0,RW,40,8,12,20,-1,6,7,1,0,1,7,5,0,80,10.0,649.0,16:14,0.9,0.7,1.6,10,21,3,6,33.3,6-1,185,L/-,12,5250000.0,PIT
7,Marcus Pettersson,27.0,D,45,1,16,17,18,24,1,0,0,0,16,0,0,57,1.8,1016.0,22:35,0.5,3.5,3.9,81,49,0,0,,6-3,177,L/-,6,4025175.0,PIT
8,Rickard Rakell,30.0,RW,33,5,11,16,-1,4,3,2,0,1,9,2,0,82,6.1,568.0,17:12,0.5,0.6,1.0,21,41,3,7,30.0,6-1,195,R/-,11,6000000.0,PIT
9,Drew O'Connor,25.0,F,45,6,9,15,8,12,6,0,0,1,8,0,1,84,7.1,663.0,14:44,0.2,1.0,1.2,24,25,14,13,51.9,6-3,200,L/-,3,925000.0,PIT
10,Lars Eller,34.0,C,45,8,6,14,1,16,6,1,1,0,6,0,0,88,9.1,672.0,14:57,0.3,0.8,1.0,29,28,262,233,52.9,6-2,205,L/-,14,1450000.0,PIT
11,Ryan Graves,28.0,D,45,3,5,8,11,20,3,0,0,1,5,0,0,53,5.7,867.0,19:17,0.0,2.6,2.6,88,37,0,0,,6-5,220,L/-,5,3750000.0,PIT
12,Jeff Carter,39.0,C,39,5,2,7,-3,10,3,1,1,3,2,0,0,48,10.4,454.0,11:39,-0.1,0.4,0.3,19,33,103,59,63.6,6-3,219,R/-,18,3000000.0,PIT
13,Valtteri Puustinen,24.0,RW,20,1,6,7,3,4,1,0,0,0,5,1,0,33,3.0,219.0,10:57,0.2,0.3,0.5,12,8,1,2,33.3,5-9,183,R/-,1,775000.0,PIT
14,Noel Acciari,32.0,C,37,3,1,4,1,8,3,0,0,1,1,0,0,43,7.0,480.0,12:58,-0.7,0.6,-0.1,57,73,218,174,55.6,5-10,209,R/-,8,1500000.0,PIT
15,Jansen Harkins,26.0,C,30,0,4,4,-3,14,0,0,0,0,4,0,0,28,0.0,260.0,8:39,-0.3,0.2,-0.2,9,42,2,0,100.0,6-2,197,L/-,4,875000.0,PIT
16,Pierre-Olivier Joseph,24.0,D,18,0,3,3,-4,6,0,0,0,0,3,0,0,13,0.0,244.0,13:34,0.0,0.2,0.2,12,14,0,0,,6-2,185,L/-,3,850000.0,PIT
17,Chad Ruhwedel,33.0,D,31,1,1,2,-2,2,1,0,0,0,1,0,0,20,5.0,382.0,12:20,-0.2,0.7,0.5,24,42,0,0,,5-11,191,R/-,11,800000.0,PIT
18,Tristan Jarry,28.0,G,31,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,1690.0,54:31,0.0,0.0,5.6,0,0,0,0,,6-2,194,-/L,7,5300000.0,PIT
19,Alex Nedeljkovic,28.0,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,899.0,56:11,0.0,0.0,3.4,0,0,0,0,,6-0,189,-/L,6,1500000.0,PIT
20,Ryan Shea,26.0,D,22,0,0,0,-2,6,0,0,0,0,0,0,0,13,0.0,274.0,12:28,-0.3,0.4,0.1,14,13,0,0,,6-2,200,L/-,0,775000.0,PIT
21,Colin White,27.0,C,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,35.0,8:52,-0.1,0.1,0.0,2,4,4,3,57.1,6-1,194,R/-,7,775000.0,PIT
0,Dylan Strome,26.0,C,46,18,12,30,-6,10,13,5,0,3,8,4,0,94,19.1,802.0,17:26,2.4,0.9,3.3,33,5,353,326,52.0,6-3,200,L/-,7,4500000.0,WSH
1,Alex Ovechkin,38.0,LW,43,8,21,29,-15,12,5,3,0,2,12,9,0,147,5.4,831.0,19:20,1.2,0.6,1.8,9,71,0,2,0.0,6-3,238,R/-,18,1000000.0,WSH
2,John Carlson,34.0,D,46,3,24,27,-1,18,2,1,0,1,15,9,0,101,3.0,1182.0,25:42,1.4,3.2,4.6,102,23,0,0,,6-3,215,R/-,14,4000000.0,WSH
3,Anthony Mantha,29.0,RW,42,14,7,21,4,6,13,1,0,0,4,3,0,75,18.7,584.0,13:55,1.7,0.9,2.7,14,19,2,5,28.6,6-5,234,L/-,8,6500000.0,WSH
4,Tom Wilson,29.0,RW,45,12,9,21,-10,86,8,3,1,2,8,1,0,112,10.7,824.0,18:18,0.9,0.8,1.6,38,122,9,20,31.0,6-4,220,R/-,10,5100000.0,WSH
5,Aliaksei Protas,23.0,C,45,3,15,18,-4,4,3,0,0,0,14,0,1,59,5.1,588.0,13:04,0.4,0.7,1.0,24,12,23,41,35.9,6-6,225,L/-,2,775000.0,WSH
6,Connor McMichael,23.0,C,44,7,8,15,-7,22,5,1,1,2,7,0,1,75,9.3,666.0,15:08,0.3,0.7,0.9,20,10,142,206,40.8,6-0,180,L/-,3,832500.0,WSH
7,Evgeny Kuznetsov,31.0,C,42,6,9,15,-13,24,6,0,0,1,6,3,0,68,8.8,790.0,18:48,-0.2,0.6,0.4,12,6,241,292,45.2,6-2,207,L/-,10,6000000.0,WSH
8,Nic Dowd,33.0,C,37,7,6,13,7,24,7,0,0,2,6,0,0,36,19.4,585.0,15:48,0.3,1.1,1.4,51,39,298,296,50.2,6-1,193,R/-,8,1300000.0,WSH
9,Nicolas Aube-Kubel,27.0,RW,34,5,7,12,7,23,5,0,0,0,7,0,0,36,13.9,430.0,12:38,0.4,0.8,1.3,17,57,6,10,37.5,6-0,207,R/-,5,1000000.0,WSH
10,T.J. Oshie,37.0,C,29,8,3,11,-8,28,4,4,0,2,2,1,0,62,12.9,471.0,16:15,0.5,0.4,0.9,24,36,9,25,26.5,6-0,187,R/-,15,4000000.0,WSH
11,Beck Malenstyn,25.0,LW,45,4,7,11,3,12,4,0,0,0,7,0,0,56,7.1,632.0,14:03,-0.3,1.0,0.7,51,105,13,16,44.8,6-3,200,L/-,3,775000.0,WSH
12,Rasmus Sandin,23.0,D,38,0,11,11,-9,12,0,0,0,0,9,2,0,47,0.0,835.0,21:58,0.0,1.7,1.7,65,34,0,0,,5-11,182,L/-,4,1600000.0,WSH
13,Martin Fehervary,24.0,D,40,2,8,10,-2,20,2,0,0,0,7,0,1,41,4.9,759.0,18:58,0.2,2.0,2.2,67,83,0,0,,6-2,199,L/-,3,2400000.0,WSH
14,Max Pacioretty,35.0,LW,11,1,6,7,-2,4,1,0,0,0,3,3,0,26,3.8,166.0,15:03,0.3,0.2,0.5,2,12,2,0,100.0,6-2,217,L/-,15,2000000.0,WSH
15,Nick Jensen,33.0,D,46,0,7,7,-5,4,0,0,0,0,7,0,0,43,0.0,880.0,19:07,-0.4,2.1,1.6,64,28,0,0,,6-1,205,R/-,7,3000000.0,WSH
16,Trevor van Riemsdyk,32.0,D,38,0,7,7,-9,12,0,0,0,0,6,0,1,39,0.0,697.0,18:21,-0.2,1.3,1.1,54,5,0,0,,6-3,191,R/-,9,2750000.0,WSH
17,Matthew Phillips,25.0,F,26,1,4,5,-2,0,1,0,0,0,4,0,0,15,6.7,269.0,10:20,-0.2,0.3,0.1,14,3,1,1,50.0,5-7,140,R/-,2,775000.0,WSH
18,Ethan Bear,26.0,D,12,1,2,3,-5,8,1,0,0,1,2,0,0,19,5.3,198.0,16:30,0.1,0.2,0.3,17,5,0,0,,5-11,197,R/-,5,1375000.0,WSH
19,Joel Edmundson,30.0,D,30,1,2,3,-2,19,1,0,0,0,2,0,0,28,3.6,484.0,16:09,-0.2,1.2,1.0,40,27,0,0,,6-5,221,L/-,8,593750.0,WSH
20,Alexander Alexeyev,24.0,D,13,1,0,1,-4,4,1,0,0,0,0,0,0,8,12.5,166.0,12:46,0.0,0.2,0.1,15,6,0,0,,6-4,213,L/-,2,775000.0,WSH
21,Darcy Kuemper,33.0,G,24,0,1,1,0,0,0,0,0,0,1,0,0,0,,1402.0,58:25,0.0,0.0,3.2,0,0,0,0,,6-5,215,-/L,11,4000000.0,WSH
22,Charlie Lindgren,30.0,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,1145.0,57:14,0.0,0.0,4.3,0,0,0,0,,6-2,179,-/R,7,1100000.0,WSH
23,Ivan Miroshnichenko,19.0,LW,4,0,0,0,-3,2,0,0,0,0,0,0,0,6,0.0,42.0,10:23,-0.1,-0.1,-0.2,1,6,0,1,0.0,6-1,185,R/-,0,82500.0,WSH
0,Noah Dobson,24.0,D,48,6,45,51,20,22,5,1,0,2,25,19,1,109,5.5,1245.0,25:56,4.0,3.8,7.8,110,36,0,0,,6-4,194,R/-,4,4000000.0,NYI
1,Mathew Barzal,26.0,C,47,13,37,50,1,26,9,4,0,3,23,14,0,145,9.0,925.0,19:40,3.6,1.1,4.7,24,18,19,21,47.5,6-1,190,R/-,7,9150000.0,NYI
2,Bo Horvat,28.0,C,47,20,25,45,6,20,12,8,0,3,18,6,1,143,14.0,924.0,19:39,3.8,1.3,5.0,30,32,433,424,50.5,6-0,215,L/-,9,8500000.0,NYI
3,Brock Nelson,32.0,C,48,21,17,38,-12,18,14,6,1,1,10,7,0,153,13.7,848.0,17:40,3.4,0.5,3.9,25,20,255,278,47.8,6-4,210,L/-,10,5600000.0,NYI
4,Kyle Palmieri,32.0,RW,48,12,15,27,-15,20,6,6,0,2,7,8,0,120,10.0,818.0,17:03,1.5,0.4,1.9,27,38,9,13,40.9,5-11,198,R/-,13,5000000.0,NYI
5,Anders Lee,33.0,LW,48,13,6,19,2,35,10,3,0,2,6,0,0,116,11.2,747.0,15:34,1.0,0.9,2.0,32,80,7,13,35.0,6-3,235,L/-,11,8950000.0,NYI
6,Jean-Gabriel Pageau,31.0,C,48,6,13,19,-12,8,5,0,1,1,7,1,5,60,10.0,759.0,15:49,0.3,0.4,0.7,47,105,415,348,54.4,5-11,185,R/-,11,4500000.0,NYI
7,Simon Holmstrom,22.0,RW,47,11,6,17,-3,10,6,0,5,1,4,0,2,45,24.4,625.0,13:17,1.0,0.6,1.6,30,8,6,11,35.3,6-2,215,L/-,1,832500.0,NYI
8,Pierre Engvall,27.0,LW,42,5,9,14,-2,14,4,1,0,0,8,1,0,69,7.2,635.0,15:07,0.1,0.6,0.7,9,10,15,14,51.7,6-5,219,L/-,4,3000000.0,NYI
9,Alexander Romanov,24.0,D,48,5,8,13,12,12,5,0,0,0,8,0,0,79,6.3,1075.0,22:23,0.4,2.9,3.3,105,65,0,0,,6-1,215,L/-,3,2500000.0,NYI
10,Cal Clutterbuck,36.0,RW,48,4,9,13,0,24,4,0,0,0,9,0,0,32,12.5,616.0,12:50,-0.1,0.7,0.6,38,139,11,16,40.7,6-0,212,R/-,16,1750000.0,NYI
11,Julien Gauthier,26.0,RW,27,5,4,9,-5,8,5,0,0,1,4,0,0,32,15.6,275.0,10:10,0.6,0.1,0.7,17,55,3,5,37.5,6-4,224,R/-,4,775000.0,NYI
