,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
13,Liam O'Brien,29.0,C,47,3,5,8,1,116,3,0,0,0,5,0,0,39,7.7,467.0,9:57,-0.2,0.6,0.4,22,112,6,11,35.3,6-1,213,L/-,6,800000.0,ARI
14,Travis Boyd,30.0,C,16,2,6,8,3,2,2,0,0,1,6,0,0,12,16.7,154.0,9:37,0.5,0.3,0.8,10,7,23,20,53.5,6-0,190,L/-,6,2000000.0,ARI
15,Juuso Valimaki,25.0,D,33,1,6,7,-1,6,1,0,0,0,2,4,0,26,3.8,621.0,18:49,0.0,1.3,1.3,38,26,0,0,,6-2,205,L/-,4,1000000.0,ARI
16,Dylan Guenther,20.0,RW,10,3,3,6,2,6,2,1,0,0,2,1,0,23,13.0,156.0,15:34,0.4,0.3,0.7,3,3,2,2,50.0,6-1,181,R/-,1,832500.0,ARI
17,Josh Brown,30.0,D,27,1,4,5,-4,45,1,0,0,1,4,0,0,23,4.3,349.0,12:56,0.1,0.5,0.6,48,41,0,0,,6-5,220,R/-,5,,ARI
18,Travis Dermott,27.0,D,32,1,2,3,-12,14,1,0,0,0,2,0,0,27,3.7,551.0,17:14,-0.3,0.4,0.1,42,27,0,0,,6-0,200,L/-,6,800000.0,ARI
19,Connor Ingram,26.0,G,31,0,2,2,0,0,0,0,0,0,2,0,0,0,,1736.0,56:01,0.0,0.0,6.3,0,0,0,0,,6-2,196,-/L,2,1750000.0,ARI
20,Karel Vejmelka,27.0,G,20,0,1,1,0,0,0,0,0,0,1,0,0,0,,1091.0,54:32,0.0,0.0,2.7,0,0,0,0,,6-4,224,-/R,2,3150000.0,ARI
21,Justin Kirkland,27.0,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14.0,7:14,0.0,0.0,0.0,1,5,8,4,66.7,6-3,183,L/-,1,200000.0,ARI
22,Vladislav Kolyachonok,22.0,D,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,6.0,6:09,0.0,0.0,0.0,0,1,0,0,,6-1,193,L/-,2,775000.0,ARI
0,Robert Thomas,24.0,C,47,17,34,51,14,32,14,2,1,2,24,8,2,95,17.9,983.0,20:55,3.9,1.7,5.7,26,9,466,429,52.1,6-0,218,R/-,5,9000000.0,STL
1,Pavel Buchnevich,28.0,LW,45,16,21,37,8,30,9,5,2,5,18,2,1,124,12.9,894.0,19:53,2.7,1.4,4.1,19,23,11,33,25.0,6-1,196,L/-,7,6900000.0,STL
2,Jordan Kyrou,25.0,C,47,13,21,34,-6,14,12,1,0,0,13,8,0,153,8.5,864.0,18:23,2.2,0.9,3.1,21,12,2,4,33.3,6-1,196,R/-,5,9000000.0,STL
