,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
4,Ryan Nugent-Hopkins,30.0,C,41,11,28,39,10,24,9,2,0,2,14,12,2,101,10.9,827.0,20:11,2.6,1.3,3.8,18,17,118,150,44.0,6-0,184,L/-,12,6250000.0,EDM
5,Evander Kane,32.0,LW,40,14,13,27,-6,52,11,2,1,2,11,2,0,122,11.5,699.0,17:28,2.0,0.5,2.6,19,127,19,22,46.3,6-2,210,L/-,14,1500000.0,EDM
6,Warren Foegele,27.0,LW,41,9,14,23,-1,28,9,0,0,1,13,0,1,103,8.7,569.0,13:52,1.5,0.6,2.1,16,37,4,4,50.0,6-2,198,L/-,6,3250000.0,EDM
7,Ryan McLeod,24.0,C,40,8,10,18,9,4,8,0,0,3,8,1,1,58,13.8,578.0,14:27,0.9,1.0,1.9,13,31,185,176,51.2,6-2,207,L/-,3,2100000.0,EDM
8,Mattias Ekholm,33.0,D,40,4,14,18,12,29,1,2,1,1,13,1,0,88,4.5,841.0,21:01,1.1,2.6,3.6,46,68,0,0,,6-4,215,L/-,12,6240000.0,EDM
9,Darnell Nurse,28.0,D,41,6,10,16,9,30,4,1,1,1,9,1,0,90,6.7,923.0,22:31,1.0,2.5,3.5,95,69,0,0,,6-4,221,L/-,9,10400000.0,EDM
10,Cody Ceci,30.0,D,41,0,11,11,9,10,0,0,0,0,10,0,1,45,0.0,825.0,20:08,0.0,2.3,2.3,56,25,0,0,,6-2,210,R/-,10,4500000.0,EDM
11,Sam Gagner,34.0,C,19,4,5,9,2,6,4,0,0,1,4,1,0,39,10.3,204.0,10:45,0.7,0.3,1.0,11,12,7,4,63.6,5-11,197,R/-,16,775000.0,EDM
12,Derek Ryan,37.0,C,41,4,5,9,-1,2,3,0,1,0,4,0,1,30,13.3,436.0,10:39,0.1,0.4,0.5,10,19,114,90,55.9,5-10,185,R/-,8,775000.0,EDM
13,Mattias Janmark,31.0,C,31,1,5,6,-4,26,1,0,0,0,5,0,0,33,3.0,388.0,12:32,-0.4,0.3,-0.1,12,20,18,29,38.3,6-1,205,L/-,7,1000000.0,EDM
14,Vincent Desharnais,27.0,D,39,1,4,5,1,27,1,0,0,0,4,0,0,21,4.8,568.0,14:34,-0.1,1.2,1.1,51,49,0,0,,6-7,226,R/-,1,775000.0,EDM
15,Brett Kulak,30.0,D,41,2,2,4,-3,20,2,0,0,0,2,0,0,41,4.9,597.0,14:33,-0.2,1.0,0.8,44,26,0,0,,6-1,197,L/-,9,3000000.0,EDM
16,James Hamblin,24.0,F,31,2,1,3,3,0,2,0,0,0,1,0,0,18,11.1,246.0,7:55,-0.2,0.4,0.2,21,11,81,79,50.6,5-9,176,L/-,1,775000.0,EDM
17,Connor Brown,30.0,RW,34,0,3,3,-10,4,0,0,0,0,3,0,0,60,0.0,474.0,13:56,-1.0,0.1,-0.9,12,11,14,16,46.7,6-0,181,R/-,8,775000.0,EDM
18,Adam Erne,28.0,LW,23,1,1,2,2,9,1,0,0,0,1,0,0,13,7.7,179.0,7:47,-0.2,0.3,0.1,5,55,4,5,44.4,6-1,212,L/-,7,775000.0,EDM
19,Philip Kemp,24.0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.0,2:03,0.0,0.0,0.0,0,0,0,0,,6-3,202,R/-,0,775000.0,EDM
20,Calvin Pickard,31.0,G,7,0,0,0,0,2,0,0,0,0,0,0,0,0,,402.0,57:25,0.0,0.0,1.0,0,0,0,0,,6-1,206,-/L,8,775000.0,EDM
21,Stuart Skinner,25.0,G,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,1787.0,57:39,0.0,0.0,4.7,0,0,0,0,,6-4,206,-/L,3,2100000.0,EDM
