,Player,Pos,Age,Ht,Wt,S/C,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
4,Joel Hanley,D,32,5-11,190,L/-,8,775000.0,20,0,3,3,4,10,0,0,0,0,3,0,0,9,0.0,266.0,13:19,0.0,0.7,0.7,18,19,0,0,,DAL
5,Thomas Harley,D,22,6-3,205,L/-,2,832500.0,40,9,12,21,11,8,7,1,1,1,10,2,0,67,13.4,784.0,19:35,1.9,2.1,4.0,72,22,0,0,,DAL
6,Miro Heiskanen,D,24,6-1,195,L/-,5,10000000.0,37,4,23,27,-2,10,3,1,0,1,14,9,0,78,5.1,927.0,25:03,1.8,1.4,3.2,54,25,0,0,,DAL
7,Roope Hintz,F,27,6-3,215,L/-,5,7500000.0,41,18,22,40,12,12,11,5,2,4,14,7,1,93,19.4,704.0,17:11,3.6,1.1,4.7,16,12,167,135,55.3,DAL
8,Wyatt Johnston,F,20,6-1,185,R/-,1,832500.0,43,12,14,26,-4,22,9,1,2,1,11,3,0,92,13.0,711.0,16:33,1.7,0.5,2.2,19,27,149,161,48.1,DAL
9,Esa Lindell,D,29,6-3,220,L/-,8,5000000.0,43,3,15,18,14,10,3,0,0,0,14,0,1,57,5.3,861.0,20:02,0.9,2.4,3.4,80,37,0,0,,DAL
10,Nils Lundkvist,D,23,5-11,190,R/-,2,832500.0,33,1,12,13,6,14,1,0,0,0,10,2,0,38,2.6,506.0,15:21,0.7,1.3,2.0,21,22,0,0,,DAL
11,Mason Marchment,F,28,6-4,210,L/-,4,4800000.0,43,14,19,33,16,38,11,3,0,2,18,1,0,82,17.1,630.0,14:39,2.8,1.2,4.0,12,37,3,2,60.0,DAL
12,Jake Oettinger,G,25,6-5,220,-/L,3,4800000.0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,,1357.0,56:31,0.0,0.0,4.1,0,0,0,0,,DAL
13,Joe Pavelski,F,39,5-11,200,R/-,17,3500000.0,43,18,21,39,2,10,10,8,0,2,17,4,0,101,17.8,714.0,16:36,3.5,0.7,4.2,35,33,179,169,51.4,DAL
14,Jason Robertson,F,24,6-3,200,L/-,4,8000000.0,43,15,30,45,5,12,11,4,0,1,19,11,0,125,12.0,779.0,18:07,3.6,0.9,4.5,17,28,0,0,,DAL
15,Tyler Seguin,F,32,6-1,205,R/-,13,2950000.0,43,16,17,33,7,18,16,0,0,1,13,2,2,90,17.8,727.0,16:54,2.7,0.9,3.6,15,28,224,183,55.0,DAL
16,Craig Smith,F,34,6-0,204,R/-,12,800000.0,40,4,3,7,4,23,4,0,0,0,3,0,0,64,6.3,408.0,10:12,-0.1,0.5,0.5,17,21,0,0,,DAL
17,Sam Steel,F,25,5-11,184,L/-,5,850000.0,38,5,8,13,4,17,3,0,2,0,7,0,1,44,11.4,492.0,12:56,0.4,0.6,1.0,16,19,40,51,44.0,DAL
