,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
11,Martin Fehervary,24.0,D,36,2,6,8,-1,18,2,0,0,0,5,0,1,36,5.6,684.0,19:00,0.1,1.8,1.9,65,78,0,0,,6-2,199,L/-,3,2400000.0,WSH
12,T.J. Oshie,37.0,C,25,4,3,7,-4,26,3,1,0,1,2,1,0,55,7.3,410.0,16:24,-0.1,0.4,0.3,20,34,8,24,25.0,6-0,187,R/-,15,4000000.0,WSH
13,Nick Jensen,33.0,D,42,0,7,7,-3,4,0,0,0,0,7,0,0,38,0.0,803.0,19:07,-0.3,2.0,1.7,58,28,0,0,,6-1,205,R/-,7,3000000.0,WSH
14,Trevor van Riemsdyk,32.0,D,36,0,7,7,-6,10,0,0,0,0,6,0,1,36,0.0,666.0,18:30,-0.2,1.4,1.2,52,5,0,0,,6-3,191,R/-,9,2750000.0,WSH
15,Hendrix Lapierre,21.0,C,24,2,4,6,-4,0,2,0,0,1,4,0,0,21,9.5,233.0,9:42,0.1,0.2,0.3,11,5,38,53,41.8,6-0,180,L/-,1,832500.0,WSH
16,Matthew Phillips,25.0,F,26,1,4,5,-2,0,1,0,0,0,4,0,0,15,6.7,269.0,10:20,-0.2,0.3,0.1,14,3,1,1,50.0,5-7,140,R/-,2,775000.0,WSH
17,Joel Edmundson,30.0,D,27,1,2,3,-2,17,1,0,0,0,2,0,0,28,3.6,437.0,16:11,-0.2,1.1,0.9,32,23,0,0,,6-5,221,L/-,8,593750.0,WSH
18,Max Pacioretty,35.0,LW,7,1,2,3,2,4,1,0,0,0,2,0,0,12,8.3,105.0,15:03,0.1,0.2,0.3,2,10,2,0,100.0,6-2,217,L/-,15,2000000.0,WSH
19,Ethan Bear,26.0,D,9,1,1,2,-5,6,1,0,0,1,1,0,0,16,6.3,152.0,16:52,0.1,0.1,0.1,14,4,0,0,,5-11,197,R/-,5,1375000.0,WSH
20,Alexander Alexeyev,24.0,D,11,1,0,1,-1,2,1,0,0,0,0,0,0,6,16.7,134.0,12:10,0.0,0.3,0.3,12,6,0,0,,6-4,213,L/-,2,775000.0,WSH
21,Darcy Kuemper,33.0,G,23,0,1,1,0,0,0,0,0,0,1,0,0,0,,1343.0,58:24,0.0,0.0,3.2,0,0,0,0,,6-5,215,-/L,11,4000000.0,WSH
22,Charlie Lindgren,30.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,965.0,56:47,0.0,0.0,4.2,0,0,0,0,,6-2,179,-/R,7,1100000.0,WSH
23,Ivan Miroshnichenko,19.0,LW,4,0,0,0,-3,2,0,0,0,0,0,0,0,6,0.0,42.0,10:23,-0.1,-0.1,-0.2,1,6,0,1,0.0,6-1,185,R/-,0,82500.0,WSH
0,Mathew Barzal,26.0,C,43,12,33,45,-1,22,9,3,0,3,20,13,0,129,9.3,834.0,19:24,3.3,0.9,4.2,21,17,18,21,46.2,6-1,190,R/-,7,9150000.0,NYI
1,Noah Dobson,24.0,D,44,6,37,43,16,22,5,1,0,2,20,16,1,100,6.0,1134.0,25:47,3.4,3.3,6.6,102,32,0,0,,6-4,194,R/-,4,4000000.0,NYI
2,Bo Horvat,28.0,C,43,17,24,41,5,20,10,7,0,2,18,5,1,124,13.7,832.0,19:21,3.4,1.1,4.5,24,31,391,390,50.1,6-0,215,L/-,9,8500000.0,NYI
3,Brock Nelson,32.0,C,44,19,16,35,-11,16,12,6,1,1,9,7,0,139,13.7,774.0,17:35,3.2,0.5,3.6,24,20,234,262,47.2,6-4,210,L/-,10,5600000.0,NYI
4,Kyle Palmieri,32.0,RW,44,10,13,23,-14,18,5,5,0,2,6,7,0,96,10.4,747.0,16:58,1.2,0.3,1.5,25,28,7,11,38.9,5-11,198,R/-,13,5000000.0,NYI
5,Anders Lee,33.0,LW,44,13,6,19,2,31,10,3,0,2,6,0,0,107,12.1,677.0,15:24,1.3,0.8,2.1,28,70,7,13,35.0,6-3,235,L/-,11,8950000.0,NYI
6,Jean-Gabriel Pageau,31.0,C,44,5,13,18,-10,8,5,0,0,1,7,1,5,53,9.4,695.0,15:47,0.3,0.4,0.7,44,96,384,312,55.2,5-11,185,R/-,11,4500000.0,NYI
7,Simon Holmstrom,22.0,RW,43,11,5,16,-2,10,6,0,5,1,4,0,1,38,28.9,569.0,13:13,1.1,0.6,1.6,27,7,4,8,33.3,6-2,205,L/-,1,832500.0,NYI
8,Pierre Engvall,27.0,LW,41,5,9,14,0,14,4,1,0,0,8,1,0,67,7.5,620.0,15:07,0.1,0.7,0.8,9,10,14,14,50.0,6-5,219,L/-,4,3000000.0,NYI
9,Cal Clutterbuck,36.0,RW,44,4,9,13,0,24,4,0,0,0,9,0,0,31,12.9,575.0,13:04,0.1,0.6,0.7,36,127,11,14,44.0,6-0,212,R/-,16,1750000.0,NYI
10,Alexander Romanov,24.0,D,44,4,6,10,12,12,4,0,0,0,6,0,0,70,5.7,992.0,22:33,0.1,2.7,2.8,100,62,0,0,,6-1,215,L/-,3,2500000.0,NYI
11,Julien Gauthier,26.0,RW,23,5,4,9,-3,4,5,0,0,1,4,0,0,26,19.2,234.0,10:12,0.7,0.2,0.9,15,45,3,5,37.5,6-4,224,R/-,4,775000.0,NYI
12,Mike Reilly,30.0,D,24,3,6,9,-8,16,2,0,1,1,4,2,0,51,5.9,390.0,16:16,0.7,0.1,0.8,23,24,0,0,,6-1,196,L/-,8,1000000.0,NYI
13,Hudson Fasching,28.0,RW,31,2,4,6,-8,4,2,0,0,0,4,0,0,27,7.4,371.0,11:59,-0.2,0.1,-0.1,19,17,1,1,50.0,6-3,204,R/-,6,775000.0,NYI
14,Sebastian Aho,27.0,D,35,1,5,6,-9,6,1,0,0,0,3,2,0,34,2.9,563.0,16:06,0.0,0.4,0.4,51,22,0,0,,5-10,186,L/-,4,850000.0,NYI
15,Oliver Wahlstrom,23.0,RW,22,2,3,5,-8,4,1,1,0,0,2,1,0,31,6.5,244.0,11:07,0.0,0.0,0.0,16,17,4,4,50.0,6-2,204,R/-,4,874125.0,NYI
16,Scott Mayfield,31.0,D,29,0,4,4,-7,23,0,0,0,0,4,0,0,27,0.0,559.0,19:16,-0.3,0.5,0.2,76,37,0,0,,6-5,220,R/-,9,3500000.0,NYI
17,Matt Martin,34.0,LW,23,2,1,3,1,16,2,0,0,0,1,0,0,21,9.5,220.0,9:34,-0.1,0.3,0.2,10,60,2,3,40.0,6-3,220,L/-,14,1500000.0,NYI
18,Samuel Bolduc,23.0,D,29,1,2,3,-5,4,1,0,0,0,2,0,0,26,3.8,376.0,12:58,-0.1,0.3,0.2,34,31,0,0,,6-4,220,L/-,1,800000.0,NYI
19,Adam Pelech,29.0,D,21,0,3,3,1,17,0,0,0,0,3,0,0,21,0.0,407.0,19:23,-0.2,0.8,0.6,38,18,0,0,,6-3,210,L/-,8,5750000.0,NYI
20,Ilya Sorokin,28.0,G,32,0,1,1,0,0,0,0,0,0,0,1,0,0,,1886.0,58:57,0.0,0.0,7.1,0,0,0,0,,6-3,195,-/L,3,4000000.0,NYI
