,Player,Pos,Age,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
13,Scott Laughton,F,29,10,3625000.0,44,4,15,19,-2,32,3,0,1,0,10,1,4,98,4.1,687.0,15:37,0.4,0.8,1.2,27,61,260,267,49.3,PHI
14,Ryan Poehling,F,25,4,1400000.0,39,5,8,13,-6,6,4,0,1,1,7,0,1,51,9.8,532.0,13:38,0.3,0.5,0.8,40,21,191,203,48.5,PHI
15,Rasmus Ristolainen,D,29,10,5500000.0,24,1,2,3,-5,4,1,0,0,0,2,0,0,39,2.6,412.0,17:11,-0.1,0.6,0.5,35,38,0,0,,PHI
16,Travis Sanheim,D,27,6,5125000.0,43,4,21,25,-7,28,4,0,0,2,15,4,2,78,5.1,1051.0,24:26,1.5,2.1,3.6,73,32,0,0,,PHI
17,Nick Seeler,D,30,5,800000.0,44,0,7,7,14,63,0,0,0,0,5,0,2,56,0.0,752.0,17:05,-0.3,2.9,2.6,120,60,0,0,,PHI
18,Marc Staal,D,37,16,1100000.0,17,1,1,2,1,10,1,0,0,0,1,0,0,7,14.3,225.0,13:13,0.0,0.6,0.6,21,15,0,0,,PHI
19,Owen Tippett,F,24,4,1750000.0,44,16,11,27,-4,2,14,2,0,2,9,2,0,162,9.9,696.0,15:49,2.3,0.8,3.1,21,66,14,21,40.0,PHI
20,Sean Walker,D,29,5,3350000.0,44,4,11,15,6,24,2,0,2,1,9,1,1,75,5.3,884.0,20:05,0.8,2.6,3.4,63,53,0,0,,PHI
0,Sebastian Aho,F,26,7,775000.0,40,15,33,48,8,18,10,4,1,4,16,16,1,121,12.4,785.0,19:37,3.9,1.3,5.1,9,12,269,232,53.7,CAR
1,Michael Bunting,F,28,4,1500000.0,42,9,18,27,-12,37,4,5,0,1,11,7,0,67,13.4,617.0,14:42,1.7,0.3,2.1,13,12,6,14,30.0,CAR
2,Brent Burns,D,38,19,1980000.0,43,8,17,25,13,14,4,3,1,0,8,9,0,110,7.3,928.0,21:35,2.0,3.1,5.1,36,12,0,0,,CAR
3,Jalen Chatfield,D,27,3,775000.0,38,4,8,12,0,10,4,0,0,0,8,0,0,50,8.0,564.0,14:51,0.8,1.3,2.1,35,25,0,0,,CAR
4,Tony DeAngelo,D,28,7,,21,2,7,9,-11,14,0,2,0,0,3,4,0,33,6.1,299.0,14:15,0.7,-0.1,0.6,9,2,0,0,,CAR
5,Jack Drury,F,23,2,832500.0,43,8,11,19,4,16,6,2,0,0,8,3,0,57,14.0,478.0,11:06,1.3,0.8,2.0,15,15,189,169,52.8,CAR
6,Jesper Fast,F,32,10,2400000.0,40,4,7,11,0,8,4,0,0,0,7,0,0,46,8.7,532.0,13:18,0.0,0.7,0.6,10,26,3,4,42.9,CAR
