,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
49,Martin Necas,25.0,C,38.0,9.0,17.0,26.0,-13.0,24.0,7.0,2.0,0.0,2.0,12.0,5.0,0.0,89.0,10.1,665.0,17:30,1.5,0.4,1.9,16.0,31.0,32.0,64.0,33.3,6-2,189.0,R/-,6.0,CAR,RW,3.6,3000000.0
50,Teuvo Teravainen,29.0,F,43.0,14.0,11.0,25.0,3.0,2.0,8.0,5.0,1.0,3.0,6.0,4.0,1.0,82.0,17.1,735.0,17:05,1.7,1.0,2.7,15.0,7.0,58.0,61.0,48.7,5-11,191.0,L/-,10.0,CAR,"LW, RW",6.5,5400000.0
51,Brent Burns,38.0,D,43.0,8.0,17.0,25.0,13.0,14.0,4.0,3.0,1.0,0.0,8.0,9.0,0.0,110.0,7.3,928.0,21:35,2.0,3.1,5.1,36.0,12.0,0.0,0.0,,6-5,230.0,R/-,19.0,CAR,RD,6.3,5280000.0
52,Brady Skjei,29.0,D,43.0,7.0,18.0,25.0,4.0,20.0,5.0,1.0,1.0,1.0,12.0,5.0,1.0,90.0,7.8,917.0,21:19,1.9,2.4,4.3,48.0,23.0,0.0,0.0,,6-3,210.0,L/-,8.0,CAR,LD,6.3,5250000.0
53,Jack Drury,23.0,C,43.0,8.0,11.0,19.0,4.0,16.0,6.0,2.0,0.0,0.0,8.0,3.0,0.0,57.0,14.0,478.0,11:06,1.3,0.8,2.0,15.0,15.0,189.0,169.0,52.8,5-11,174.0,L/-,2.0,CAR,C,1.1,925000.0
54,Jaccob Slavin,29.0,D,43.0,4.0,15.0,19.0,10.0,4.0,2.0,0.0,2.0,0.0,14.0,0.0,1.0,87.0,4.6,899.0,20:54,1.1,2.8,3.8,68.0,20.0,0.0,0.0,,6-3,207.0,L/-,8.0,CAR,LD,6.3,5300000.0
55,Jesperi Kotkaniemi,23.0,C,43.0,9.0,9.0,18.0,-9.0,28.0,8.0,1.0,0.0,0.0,7.0,1.0,1.0,86.0,10.5,633.0,14:43,0.8,0.5,1.3,21.0,26.0,207.0,218.0,48.7,6-2,201.0,L/-,5.0,CAR,C,5.8,4820000.0
56,Dmitry Orlov,32.0,D,43.0,2.0,13.0,15.0,-6.0,26.0,1.0,0.0,1.0,0.0,10.0,3.0,0.0,68.0,2.9,718.0,16:42,0.7,1.2,1.9,30.0,44.0,0.0,0.0,,5-11,214.0,L/-,11.0,CAR,LD,9.3,7750000.0
57,Jordan Martinook,31.0,LW,43.0,5.0,9.0,14.0,-2.0,18.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,86.0,5.8,642.0,14:56,0.0,0.7,0.8,17.0,25.0,26.0,16.0,61.9,6-0,196.0,L/-,9.0,CAR,"LW, RW",2.2,1800000.0
58,Jordan Staal,35.0,C,43.0,5.0,8.0,13.0,-11.0,26.0,5.0,0.0,0.0,1.0,6.0,1.0,1.0,70.0,7.1,676.0,15:43,-0.2,0.5,0.3,21.0,63.0,440.0,329.0,57.2,6-4,220.0,L/-,17.0,CAR,"C, LW",3.5,2900000.0
59,Jalen Chatfield,27.0,D,38.0,4.0,8.0,12.0,0.0,10.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,50.0,8.0,564.0,14:51,0.8,1.3,2.1,35.0,25.0,0.0,0.0,,6-1,188.0,R/-,3.0,CAR,RD,0.9,762500.0
60,Jesper Fast,32.0,RW,40.0,4.0,7.0,11.0,0.0,8.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,46.0,8.7,532.0,13:18,0.0,0.7,0.6,10.0,26.0,3.0,4.0,42.9,6-1,191.0,R/-,10.0,CAR,RW,2.9,2400000.0
61,Tony DeAngelo,28.0,D,21.0,2.0,7.0,9.0,-11.0,14.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,33.0,6.1,299.0,14:15,0.7,-0.1,0.6,9.0,2.0,0.0,0.0,,5-11,180.0,R/-,7.0,CAR,,,
62,Brett Pesce,29.0,D,35.0,3.0,4.0,7.0,-2.0,10.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,50.0,6.0,708.0,20:14,0.1,1.5,1.5,64.0,11.0,0.0,0.0,,6-3,206.0,R/-,8.0,CAR,RD,4.8,4025000.0
